Gain,Delay,SenCell#,OhmData,TimeStamp,RawData
1,1,1,148.9,6/10/2014 11:29,1627
1,1,2,216.8,6/10/2014 11:29,1212
1,1,3,325.4,6/10/2014 11:29,910
1,1,4,461,6/10/2014 11:29,679
1,1,5,669,6/10/2014 11:29,493
1,1,6,800,6/10/2014 11:29,416
1,1,7,986,6/10/2014 11:29,350
1,1,8,2959,6/10/2014 11:29,129
1,1,9,4640,6/10/2014 11:29,85
1,1,10,5540,6/10/2014 11:29,75
1,1,11,9870,6/10/2014 11:29,47
1,1,12,17800,6/10/2014 11:29,31
1,1,13,32630,6/10/2014 11:29,21
1,1,14,55000,6/10/2014 11:29,18
1,1,15,177300,6/10/2014 11:29,12
1,1,16,324800,6/10/2014 11:29,11
